YearsExperience,Education,JobRole,OrgSize,Location,Age,Gender,CompTotal,CompFreq,Currency,LanguageHaveWorkedWith
14.0,Some college/university study without earning a degree,"Engineer, data","1,000 to 4,999 employees",Viet Nam,25-34 years old,Man,17564718.0,Monthly,VND	Vietnamese dong,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript;VBA
5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, back-end",10 to 19 employees,Viet Nam,25-34 years old,Man,5000000.0,Monthly,VND	Vietnamese dong,Python
11.0,Some college/university study without earning a degree,"Developer, full-stack;Developer, back-end",20 to 99 employees,Viet Nam,25-34 years old,Man,45000000.0,Monthly,VND	Vietnamese dong,Bash/Shell;Go;HTML/CSS;JavaScript;Node.js;SQL;TypeScript
15.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Engineering manager",100 to 499 employees,Viet Nam,25-34 years old,Man,3500.0,Monthly,USD	United States dollar,Dart;HTML/CSS;Java;JavaScript;Node.js;Objective-C;PHP;SQL;TypeScript
6.0,"Associate degree (A.A., A.S., etc.)","Developer, front-end",10 to 19 employees,Viet Nam,18-24 years old,Man,14000000.0,Monthly,VND	Vietnamese dong,HTML/CSS;JavaScript;Node.js;PHP
7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",500 to 999 employees,Viet Nam,25-34 years old,Man,23000000.0,Monthly,VND	Vietnamese dong,C#;JavaScript
3.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Student",20 to 99 employees,Viet Nam,18-24 years old,Man,5000000.0,Monthly,VND	Vietnamese dong,Dart;Java;JavaScript;Node.js;TypeScript
10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, front-end",20 to 99 employees,Viet Nam,25-34 years old,Man,30000000.0,Monthly,VND	Vietnamese dong,Java;JavaScript;Kotlin;Node.js;TypeScript
5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, back-end;Student",20 to 99 employees,Viet Nam,18-24 years old,Man,12000000.0,Monthly,VND	Vietnamese dong,Java;SQL
8.0,Some college/university study without earning a degree,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices",20 to 99 employees,Viet Nam,25-34 years old,Man,88000000.0,Monthly,VND	Vietnamese dong,Bash/Shell;Java;Kotlin;Ruby
6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Designer",20 to 99 employees,Viet Nam,25-34 years old,Man,400.0,Monthly,VND	Vietnamese dong,Java;JavaScript
9.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",100 to 499 employees,Viet Nam,25-34 years old,Man,20000000.0,Monthly,VND	Vietnamese dong,C;C#;HTML/CSS;JavaScript;PHP
11.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,25-34 years old,Man,33000000.0,Monthly,VND	Vietnamese dong,HTML/CSS;JavaScript;Node.js;TypeScript
5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",100 to 499 employees,Viet Nam,18-24 years old,Man,8000000.0,Monthly,VND	Vietnamese dong,C;C#;C++;HTML/CSS;Java;JavaScript;SQL;Swift
12.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end",20 to 99 employees,Viet Nam,25-34 years old,Man,30000000.0,Monthly,VND	Vietnamese dong,C#;C++;HTML/CSS;Java;JavaScript;Node.js;SQL
7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, back-end","5,000 to 9,999 employees",Viet Nam,25-34 years old,Man,20000000.0,Monthly,VND	Vietnamese dong,C++;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript
10.0,Primary/elementary school,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Developer, QA or test;Data or business analyst;System administrator;Product manager",10 to 19 employees,Viet Nam,25-34 years old,Man,200000000.0,Yearly,VND	Vietnamese dong,C#;HTML/CSS;JavaScript;PHP;Swift
7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, front-end;Student;Educator",10 to 19 employees,Viet Nam,25-34 years old,Man,20000000.0,Monthly,VND	Vietnamese dong,Objective-C;Swift
11.0,Some college/university study without earning a degree,"Developer, back-end;DevOps specialist;Engineering manager",100 to 499 employees,Viet Nam,25-34 years old,Man,78000000.0,Monthly,VND	Vietnamese dong,Go;HTML/CSS;Java;JavaScript;PHP;SQL
0.0,Some college/university study without earning a degree,"Developer, back-end",20 to 99 employees,Viet Nam,25-34 years old,Man,1250000.0,Weekly,VND	Vietnamese dong,HTML/CSS;JavaScript;PHP;SQL;TypeScript
12.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,25-34 years old,Man,57800000.0,Monthly,VND	Vietnamese dong,C#;Dart;HTML/CSS;JavaScript;Kotlin;Node.js;PHP;SQL
7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,18-24 years old,Man,35000000.0,Monthly,VND	Vietnamese dong,C;C#;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
